# provenance
# target	aptus data-acquisition brief target 3 — what SAP does NOT support (negative evidence register)
# source	help.sap.com, product SAP S/4HANA Cloud Public Edition, version 2608.500, state PRODUCTION
# source_url	one per row, in the source_url column; every row cites the exact topic it was read from
# access_method	anonymous reads of help.sap.com's own published content service (http.svc/deliverableMetadata, http.svc/pagecontent). No login, no api.sap.com traffic, no DOM scraping.
# date_read	2026-09-07
# deliverables_read	55 (40 country/region localisation deliverables including Malaysia, plus SAP Document and Reporting Compliance, Country/Region-Specific Functions, Extend and Integrate, Extensibility for Electronic Document Processing, SAP Intelligent Real Estate, Manage, Protect, International Trade, Finance, Contract Accounting, Public Sector, Banking, Insurance, Oil & Gas, and the 3-system-landscape migration troubleshooting guide)
# topics_read	13176 listed in those deliverables' tables of contents; 12959 returned a body
# statements_found	659 sentences matched the negation patterns; 539 kept after the filters below
# extraction_rule	sentence-level. A sentence is kept when it contains one of: is/are/was/were/can/could/will/would/shall/may/might/do/does/did/has/have + not + (supported|available|released|possible|permitted|allowed|covered|provided|delivered|offered); does/do not support; is/are unsupported; not supported by/for/in/with/on; no plans/support to/for; out of scope; is not part of; is/are excluded from; is/are not in scope.
# filter_rule	dropped 90 sentences opening with a conditional connector (If/When/Unless/Since/Because/While/Although/In case/...) and 20 whose negated subject is itself a conditional clause, because those state a condition rather than a product limitation; dropped 4 affirmative sentences ("You can ...") whose negation sits in a parenthetical relative clause; dropped 1 describing a transient example state; dropped 5 whose subject could not be isolated.
# column_source	capability=the title of the SAP topic the sentence was read from, verbatim. It is SAP's heading, NOT an aptus classification.
# column_source	scope_item_ids=scope item codes appearing IN THE SENTENCE ITSELF and present in the 2608 scope item set (sap-references/2608 Scope sheet, plus the codes in the published Available Interfaces table). Empty on most rows because SAP writes these statements about features, not scope items — an empty cell is not a claim that no scope item is affected.
# column_source	country=the country/region deliverable the topic belongs to; where the topic is not in a country deliverable, a country named explicitly in the sentence. Empty means the statement is product-wide or SAP did not name a country.
# column_source	what_is_not_supported=mechanically extracted from SAP's own sentence: the text preceding the negation verb, after the last connector (however/but/although/while/;/because/since/therefore) and with a leading conjunction stripped. Where nothing precedes the negation, the text following it is used. No wording was added.
# column_source	sap_statement_verbatim=the sentence exactly as SAP published it, whitespace-normalised only. Never softened, never paraphrased, never turned into a caveat.
# column_source	source_type=Help on every row. SAP Notes and Knowledge Base Articles live behind authentication on me.sap.com and were NOT read in this pass, so the KBA and Note families named in the brief are still unharvested — this file is the Help-portal slice of the register, not the register.
# column_source	source_id=the SAP loio, SAP's own stable document id for the topic
# column_source	released_on=empty on every row: help.sap.com publishes a content release (2608) for the document, not a release date for the individual statement. The release for every row in this file is 2608.
# column_source	future_support_stated=a clause from the same or the next sentence in which SAP says something about future support (no plans / not planned / in a future release / currently not / as of now / not yet), verbatim. Empty means SAP said nothing about the future there, NOT that support is planned.
# completeness	floor, and deliberately so. 55 of the product's deliverables were read, chosen because localisation and compliance content is where exclusions are stated; the other ~76 discovered deliverables and every deliverable outside this product were not read. The register is a lower bound on published exclusions, not a census.
# known_gap	the brief's own example — the Real Estate (RE-FX) invoice exclusion from the Malaysian e-invoice solution — is NOT in this file. It was not found on any help.sap.com page reachable without authentication in this pass. It is the class of statement SAP publishes in a KBA, and KBAs need a signed-in me.sap.com session. That gap is stated rather than filled.
# countries_covered	Austria=6, Belgium=4, Brazil=12, Chile=3, China=8, Colombia=9, Croatia=6, Czech Republic=2, Denmark=4, Egypt=4, Finland=2, France=5, Greece=5, Hungary=11, India=26, Ireland=6, Italy=10, Kazakhstan=4, Luxembourg=2, Malaysia=11, Mexico=11, Netherlands=5, Peru=6, Poland=19, Portugal=16, Romania=14, Slovakia=4, Slovenia=2, South Korea=8, Spain=8, Sweden=5, Switzerland=4, Taiwan=3, Thailand=4, Turkey=2, Ukraine=2, United Kingdom=7, United States=15
# rows_without_country	264
# not_claimed	this file states what SAP publishes for release 2608. It says nothing about what any tenant has activated.
capability	scope_item_ids	country	what_is_not_supported	sap_statement_verbatim	source_type	source_id	source_url	released_on	future_support_stated
Read Access Logging Configurations		Kazakhstan	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	356fbe9a5d124558a3a565a2c461a81a	https://help.sap.com/docs/SAP_S4HANA_CLOUD/4d61ddd947c3473e99dc863a03488835/356fbe9a5d124558a3a565a2c461a81a.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Luxembourg	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	3b79f421d7f6419ba16f5667457ff9c7	https://help.sap.com/docs/SAP_S4HANA_CLOUD/e8fb3e98bfca45c3a25a4d64fe3e9edf/3b79f421d7f6419ba16f5667457ff9c7.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Luxembourg	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	15702cd646894740b70279692ef78226	https://help.sap.com/docs/SAP_S4HANA_CLOUD/e8fb3e98bfca45c3a25a4d64fe3e9edf/15702cd646894740b70279692ef78226.html?version=2608.500		
Defining Error Categories for Error Analysis (Recommended)		Malaysia	Multiple user IDs	Multiple user IDs are not allowed in this field.	Help	b1bd5627b79c42e1bd96d880ca14d714	https://help.sap.com/docs/SAP_S4HANA_CLOUD/5634560fea4a480fa0fc425cda21a73a/b1bd5627b79c42e1bd96d880ca14d714.html?version=2608.500		
Electronic Customer Invoices: Peppol Network		Malaysia	Cross-border electronic invoices	Cross-border electronic invoices are not supported.	Help	0ffa820cea774df1be9bad9150777793	https://help.sap.com/docs/SAP_S4HANA_CLOUD/5634560fea4a480fa0fc425cda21a73a/0ffa820cea774df1be9bad9150777793.html?version=2608.500		
Electronic Supplier Invoices: Peppol Network		Malaysia	Cross-border electronic invoices	Cross-border electronic invoices are not supported.	Help	dbc1fcaa039948c5a49ab22972f341e3	https://help.sap.com/docs/SAP_S4HANA_CLOUD/5634560fea4a480fa0fc425cda21a73a/dbc1fcaa039948c5a49ab22972f341e3.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Malaysia	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	7e6da2d6a70e4ca4b7ebf1db96932e61	https://help.sap.com/docs/SAP_S4HANA_CLOUD/5634560fea4a480fa0fc425cda21a73a/7e6da2d6a70e4ca4b7ebf1db96932e61.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Malaysia	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	1edb13e7535a4a5497c0882bbe7c0c84	https://help.sap.com/docs/SAP_S4HANA_CLOUD/5634560fea4a480fa0fc425cda21a73a/1edb13e7535a4a5497c0882bbe7c0c84.html?version=2608.500		
Read Access Logging Configurations		Malaysia	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	7098eb33bc96438c8a8d38158ce01637	https://help.sap.com/docs/SAP_S4HANA_CLOUD/5634560fea4a480fa0fc425cda21a73a/7098eb33bc96438c8a8d38158ce01637.html?version=2608.500		
Read Access Logging Configurations		Malaysia	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	f21cdbaec5934ad494f95ea098534661	https://help.sap.com/docs/SAP_S4HANA_CLOUD/5634560fea4a480fa0fc425cda21a73a/f21cdbaec5934ad494f95ea098534661.html?version=2608.500		
Sending Electronic Invoices in Convergent Invoicing Using Peppol		Malaysia	Cross-border electronic invoices	Cross-border electronic invoices are not supported.	Help	4a066175b55141e0bd092efa07864ab4	https://help.sap.com/docs/SAP_S4HANA_CLOUD/5634560fea4a480fa0fc425cda21a73a/4a066175b55141e0bd092efa07864ab4.html?version=2608.500		
Sending Electronic Invoices to Customers Using Peppol		Malaysia	Cross-border electronic invoices	Cross-border electronic invoices are not supported.	Help	b8e1a29eeebe4e3db571131fb7c83876	https://help.sap.com/docs/SAP_S4HANA_CLOUD/5634560fea4a480fa0fc425cda21a73a/b8e1a29eeebe4e3db571131fb7c83876.html?version=2608.500		
Sending Electronic Sales Billing Documents in Contract Accounting Using Peppol		Malaysia	Cross-border electronic invoices	Cross-border electronic invoices are not supported.	Help	e872c44e614c4ba3bd295197ef18cad2	https://help.sap.com/docs/SAP_S4HANA_CLOUD/5634560fea4a480fa0fc425cda21a73a/e872c44e614c4ba3bd295197ef18cad2.html?version=2608.500		
Specifying Whether Consolidated Invoicing Is Allowed for a Customer		Malaysia	As a result, you	As a result, you are not allowed to include this invoice into a consolidated invoice.	Help	00f5e73c71ff4518a2c2ac4a93dff5e1	https://help.sap.com/docs/SAP_S4HANA_CLOUD/5634560fea4a480fa0fc425cda21a73a/00f5e73c71ff4518a2c2ac4a93dff5e1.html?version=2608.500		
Creating Electronic Invoices for Down Payments		Mexico	Foreign trade scenarios	Foreign trade scenarios are not supported in electronic down payment invoicing.	Help	33c1d6bbc1194f28aeb58d049c99fdef	https://help.sap.com/docs/SAP_S4HANA_CLOUD/ce12687340f040afb02c3a9d01039a4c/33c1d6bbc1194f28aeb58d049c99fdef.html?version=2608.500		
Customizing Your PDF Output		Mexico	Custom PDF forms	Custom PDF forms are not supported in the Mexico Consolidated ePayment process.	Help	0fd691992d9743d091589c69244f0786	https://help.sap.com/docs/SAP_S4HANA_CLOUD/ce12687340f040afb02c3a9d01039a4c/0fd691992d9743d091589c69244f0786.html?version=2608.500		
Customizing Your PDF Output		Mexico	Custom PDF forms	Custom PDF forms are not supported in the Mexico Consolidated ePayment process.	Help	75f26cf0b9d44908a12cd9d3e2d5d16c	https://help.sap.com/docs/SAP_S4HANA_CLOUD/ce12687340f040afb02c3a9d01039a4c/75f26cf0b9d44908a12cd9d3e2d5d16c.html?version=2608.500		
Customizing Your PDF Output		Mexico	Custom PDF forms	Custom PDF forms are not supported in the Mexico Consolidated ePayment process.	Help	a4db0a839c424ba5ab318c0c287ab064	https://help.sap.com/docs/SAP_S4HANA_CLOUD/ce12687340f040afb02c3a9d01039a4c/a4db0a839c424ba5ab318c0c287ab064.html?version=2608.500		
Customizing Your PDF Output		Mexico	We identified some commonly used fields that	We identified some commonly used fields that are not covered in the standard XML mappings and whose values can't be accessed by this BAdI.	Help	0fd691992d9743d091589c69244f0786	https://help.sap.com/docs/SAP_S4HANA_CLOUD/ce12687340f040afb02c3a9d01039a4c/0fd691992d9743d091589c69244f0786.html?version=2608.500		
Customizing Your PDF Output		Mexico	We identified some commonly used fields that	We identified some commonly used fields that are not covered in the standard XML mappings and whose values can't be accessed by this BAdI.	Help	75f26cf0b9d44908a12cd9d3e2d5d16c	https://help.sap.com/docs/SAP_S4HANA_CLOUD/ce12687340f040afb02c3a9d01039a4c/75f26cf0b9d44908a12cd9d3e2d5d16c.html?version=2608.500		
Customizing Your PDF Output		Mexico	We identified some commonly used fields that	We identified some commonly used fields that are not covered in the standard XML mappings and whose values can't be accessed by this BAdI.	Help	a4db0a839c424ba5ab318c0c287ab064	https://help.sap.com/docs/SAP_S4HANA_CLOUD/ce12687340f040afb02c3a9d01039a4c/a4db0a839c424ba5ab318c0c287ab064.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Mexico	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	05c0827ac0a94a209df1ee1c4bc164bf	https://help.sap.com/docs/SAP_S4HANA_CLOUD/ce12687340f040afb02c3a9d01039a4c/05c0827ac0a94a209df1ee1c4bc164bf.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Mexico	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	affe7afbb17440aa958299e9956d0a87	https://help.sap.com/docs/SAP_S4HANA_CLOUD/ce12687340f040afb02c3a9d01039a4c/affe7afbb17440aa958299e9956d0a87.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Mexico	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	007581d73e6b46398e9cb169ce4658c3	https://help.sap.com/docs/SAP_S4HANA_CLOUD/ce12687340f040afb02c3a9d01039a4c/007581d73e6b46398e9cb169ce4658c3.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Mexico	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	b73b54cf30104465a8b93bda673f42ee	https://help.sap.com/docs/SAP_S4HANA_CLOUD/ce12687340f040afb02c3a9d01039a4c/b73b54cf30104465a8b93bda673f42ee.html?version=2608.500		
Configuration for EC Sales List		Netherlands	the manual submission (that is, the manual or electronic file format or data for manual input)	Note that the manual submission (that is, the manual or electronic file format or data for manual input) is not supported.	Help	8c2e54f3810441faa59763b4378c4a89	https://help.sap.com/docs/SAP_S4HANA_CLOUD/f2dbf96a245c44809852a5465ed7e93d/8c2e54f3810441faa59763b4378c4a89.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Netherlands	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	b42fa648aa3344e585965324fde91ba5	https://help.sap.com/docs/SAP_S4HANA_CLOUD/f2dbf96a245c44809852a5465ed7e93d/b42fa648aa3344e585965324fde91ba5.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Netherlands	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	ce6a5bf75438476bb8c8efa8aa94fd8a	https://help.sap.com/docs/SAP_S4HANA_CLOUD/f2dbf96a245c44809852a5465ed7e93d/ce6a5bf75438476bb8c8efa8aa94fd8a.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Netherlands	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	d243f940c6384c05ab3face3fb772d6d	https://help.sap.com/docs/SAP_S4HANA_CLOUD/f2dbf96a245c44809852a5465ed7e93d/d243f940c6384c05ab3face3fb772d6d.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Netherlands	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	db46ee8562cd4a4eb4517b469e88fc8a	https://help.sap.com/docs/SAP_S4HANA_CLOUD/f2dbf96a245c44809852a5465ed7e93d/db46ee8562cd4a4eb4517b469e88fc8a.html?version=2608.500		
Defining Error Categories for Error Analysis (Recommended)		Peru	Multiple user IDs	Multiple user IDs are not allowed in this field.	Help	fee83025c2b74c6387153e5dcc148714	https://help.sap.com/docs/SAP_S4HANA_CLOUD/7231e70d51c24a889e97176023e37a22/fee83025c2b74c6387153e5dcc148714.html?version=2608.500		
Defining Error Categories for Error Analysis (Recommended)		Peru	Multiple user IDs	Multiple user IDs are not allowed in this field.	Help	bb45ecfb93424116ba9ef893f1cec13d	https://help.sap.com/docs/SAP_S4HANA_CLOUD/7231e70d51c24a889e97176023e37a22/bb45ecfb93424116ba9ef893f1cec13d.html?version=2608.500		
Defining Error Categories for Error Analysis (Recommended)		Peru	Multiple user IDs	Multiple user IDs are not allowed in this field.	Help	7d0e5378e0b6446ca8122739a99c2739	https://help.sap.com/docs/SAP_S4HANA_CLOUD/7231e70d51c24a889e97176023e37a22/7d0e5378e0b6446ca8122739a99c2739.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Peru	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	4cdacb9822a74e879674fb68de933d24	https://help.sap.com/docs/SAP_S4HANA_CLOUD/7231e70d51c24a889e97176023e37a22/4cdacb9822a74e879674fb68de933d24.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Peru	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	0f297d7edbae4c96997af543db4d7449	https://help.sap.com/docs/SAP_S4HANA_CLOUD/7231e70d51c24a889e97176023e37a22/0f297d7edbae4c96997af543db4d7449.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Peru	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	6ede858e53ce4ec99f8305c97d8f1cc4	https://help.sap.com/docs/SAP_S4HANA_CLOUD/7231e70d51c24a889e97176023e37a22/6ede858e53ce4ec99f8305c97d8f1cc4.html?version=2608.500		
Activating Official Document Numbering in Convergent Invoicing		Poland	Official document numbering (ODN)	Official document numbering (ODN) is not available for Poland in the standard system, but you can activate it and then configure it according to your requirements.	Help	0f5d264e87b040e6b15c1251163be19f	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/0f5d264e87b040e6b15c1251163be19f.html?version=2608.500		
Activation of Official Document Numbering in Convergent Invoicing		Poland	Official document numbering (ODN)	Official document numbering (ODN) is not available for Poland in the standard system, but you can activate it.	Help	647286e4b283423f9ccf0278bb89cf5b	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/647286e4b283423f9ccf0278bb89cf5b.html?version=2608.500		
Creating Technical Correction for Rejected Electronic Invoices (Offline PDF)		Poland	In special cases where manual correction of the original document	In special cases where manual correction of the original document is not possible due to incorrect business data, you need to post a new invoice as a technical correction.	Help	d4afa6d167ac4c4699ad8825140b9a63	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/d4afa6d167ac4c4699ad8825140b9a63.html?version=2608.500		
Defining Error Categories for Error Analysis (Recommended)		Poland	Multiple user IDs	Multiple user IDs are not allowed in this field.	Help	1edbaee2b58f42e9814f993ea2d32309	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/1edbaee2b58f42e9814f993ea2d32309.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Poland	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	6b0ffc245f6543a88b72fe89b596c319	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/6b0ffc245f6543a88b72fe89b596c319.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Poland	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	a00074fc0e4d45e8af186ae01bea77fd	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/a00074fc0e4d45e8af186ae01bea77fd.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Poland	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	fac43d7d8c504e198c9ecc14a7fd4546	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/fac43d7d8c504e198c9ecc14a7fd4546.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Poland	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	3b4c8fea7ccb475a9bdb96fcb57ef938	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/3b4c8fea7ccb475a9bdb96fcb57ef938.html?version=2608.500		
Generating the Customer Balances and Line Items Report		Poland	This checkbox determines whether the G/L accounts without any postings in the given reporting period	This checkbox determines whether the G/L accounts without any postings in the given reporting period are excluded from the generated PDF file.	Help	0df80d5731764b5fb54dfb6a0ed623f2	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/0df80d5731764b5fb54dfb6a0ed623f2.html?version=2608.500		
Generating the SAF-T Accounting Ledgers (JPK_KR) Report		Poland	Authentication data technique	Authentication data technique is not supported.	Help	eac6eb5858754146af7baf2687f5e372	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/eac6eb5858754146af7baf2687f5e372.html?version=2608.500		
Generating the SAF-T Accounting Ledgers PD		Poland	Authentication data technique	Authentication data technique is not supported.	Help	d2ed2df61410455eb56a3b9468852cf7	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/d2ed2df61410455eb56a3b9468852cf7.html?version=2608.500		
Generating the SAF-T Bank Statements (JPK_WB)		Poland	Authentication data technique	Authentication data technique is not supported.	Help	c93033fa57aa4492ba82c297dc2ec618	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/c93033fa57aa4492ba82c297dc2ec618.html?version=2608.500		
Generating the SAF-T Fixed Assets		Poland	Authentication data technique	Authentication data technique is not supported.	Help	ba9abb1793d74a4085d30a17965f385d	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/ba9abb1793d74a4085d30a17965f385d.html?version=2608.500		
Generating the SAF-T Inventory (JPK_MAG)		Poland	Authentication data technique	Authentication data technique is not supported.	Help	f0c9c46073c544898d244059bca2d14e	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/f0c9c46073c544898d244059bca2d14e.html?version=2608.500		
Generating the SAF-T Invoices (JPK_FA) Report		Poland	Authentication data technique	Authentication data technique is not supported.	Help	08b0b2a2f4b14b9a949e2f47e7509a27	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/08b0b2a2f4b14b9a949e2f47e7509a27.html?version=2608.500		
Generating the SAF-T JPK_VAT with Declaration (JPK_V7K) - Quarterly Report		Poland	Authentication data technique	Authentication data technique is not supported.	Help	c9ef3e23d08c4c819c6fdec25b773d53	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/c9ef3e23d08c4c819c6fdec25b773d53.html?version=2608.500		
Generating the SAF-T JPK_VAT with Declaration (JPK_V7M) - Monthly Report		Poland	Authentication data technique	Authentication data technique is not supported.	Help	1f58ade6a1504451b2a2b4e9df434c7c	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/1f58ade6a1504451b2a2b4e9df434c7c.html?version=2608.500		
How Online Validation is Used with the List of VAT Payers		Poland	to check the historical validity of a value (that is, you cannot check the validity for a previous date); the check and the response is valid for the time when	It is not possible to check the historical validity of a value (that is, you cannot check the validity for a previous date); the check and the response is valid for the time when the request was sent.	Help	1005928a5f7941c9b053fdcf5be9e1dc	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/1005928a5f7941c9b053fdcf5be9e1dc.html?version=2608.500		
Setting Up SAF-T Fixed Assets		Poland	the manual submission (that is, the manual or electronic file format or data for manual input)	Note that the manual submission (that is, the manual or electronic file format or data for manual input) is not supported.	Help	85fe9eecb962419db0752a73f1e33960	https://help.sap.com/docs/SAP_S4HANA_CLOUD/bb525a45b55f4a1c9bb32c254affeeec/85fe9eecb962419db0752a73f1e33960.html?version=2608.500		
Billing Documents with Digital Signatures		Portugal	The reprinting of a reversed billing document	The reprinting of a reversed billing document is not allowed.	Help	3029a05fbfe2402486f9d377a3e6ce6f	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6dbc01446ae14a28b7142bb2203abc10/3029a05fbfe2402486f9d377a3e6ce6f.html?version=2608.500		
Configuring Digital Signature and ATCUD for Accounting Documents		Portugal	Number ranges with alpha-numeric prefixes	Number ranges with alpha-numeric prefixes are not supported in digital signature for Portugal.	Help	2941a8bf933a4da9be9faa79310e6a58	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6dbc01446ae14a28b7142bb2203abc10/2941a8bf933a4da9be9faa79310e6a58.html?version=2608.500		
Configuring Digital Signature and ATCUD for SD Billing Documents		Portugal	Number ranges with alpha-numeric prefixes	Number ranges with alpha-numeric prefixes are not supported in digital signature for Portugal.	Help	16500d95345b4baa8631bbad78a41232	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6dbc01446ae14a28b7142bb2203abc10/16500d95345b4baa8631bbad78a41232.html?version=2608.500		
Delivery Document Posting - Restrictions		Portugal	This feature	This feature is not available in FIORI apps for posting delivery like Create Outbound Deliveries.	Help	8ce75450b0e54535b6bc5f53bafddf2f	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6dbc01446ae14a28b7142bb2203abc10/8ce75450b0e54535b6bc5f53bafddf2f.html?version=2608.500		
Digital Signature Exclusion - Billing Documents from Retail Point-of-Sale [POS] Systems (SD only)		Portugal	The SD invoices identified with Billing category = POS Billing Document	The SD invoices identified with Billing category = POS Billing Document are excluded from the certification and validation process within your SAP system.	Help	7069d11dc79c4ae79fbd986f7a802a8d	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6dbc01446ae14a28b7142bb2203abc10/7069d11dc79c4ae79fbd986f7a802a8d.html?version=2608.500		
Digital Signature Exclusion - Billing Documents from Retail Point-of-Sale [POS] Systems (SD only)		Portugal	You must already have implemented an external certified software to generate digital signatures for these POS documents that	You must already have implemented an external certified software to generate digital signatures for these POS documents that are excluded from the certification performed in your SAP system, and the requirements mentioned in the Caution must be met.	Help	7069d11dc79c4ae79fbd986f7a802a8d	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6dbc01446ae14a28b7142bb2203abc10/7069d11dc79c4ae79fbd986f7a802a8d.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Portugal	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	2529a2096bdd489493c1a1f6a2d8f35c	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6dbc01446ae14a28b7142bb2203abc10/2529a2096bdd489493c1a1f6a2d8f35c.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Portugal	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	a0c6c4bd0f0b40eabda2cf6827d334a4	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6dbc01446ae14a28b7142bb2203abc10/a0c6c4bd0f0b40eabda2cf6827d334a4.html?version=2608.500		
Maintain Document Number Gaps and Generate Digital Signature for Accounting Documents		Portugal	ting documents such as invoices, debit memos, and credit memos created manually for a Portuguese company code are created with sequential document numbers, meaning any gaps in the sequential numbering	In Portugal, it is legally required that accounting documents such as invoices, debit memos, and credit memos created manually for a Portuguese company code are created with sequential document numbers, meaning any gaps in the sequential numbering are not allowed.	Help	d49b06b0aad54cb7bf6d902137988f3c	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6dbc01446ae14a28b7142bb2203abc10/d49b06b0aad54cb7bf6d902137988f3c.html?version=2608.500		
Maintain Document Number Gaps and Generate Digital Signature for Billing Documents		Portugal	voices, proforma invoices, debit memos, and credit memos created manually for a Portuguese sales organization are created with sequential document numbers, meaning any gaps in the sequential numbering	In Portugal, it is legally required that billing documents such as invoices, proforma invoices, debit memos, and credit memos created manually for a Portuguese sales organization are created with sequential document numbers, meaning any gaps in the sequential numbering are not allowed.	Help	9b3390f14f7141d1af2c3c93bae7ad80	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6dbc01446ae14a28b7142bb2203abc10/9b3390f14f7141d1af2c3c93bae7ad80.html?version=2608.500		
Maintain Document Number Gaps and Generate Digital Signature for Delivery Documents		Portugal	In Portugal, it is legally required that delivery documents created for a Portuguese sales organization are created with sequential document numbers, meaning any gaps in the sequential numbering	In Portugal, it is legally required that delivery documents created for a Portuguese sales organization are created with sequential document numbers, meaning any gaps in the sequential numbering are not allowed.	Help	b2727a76bdd94fc58872feef2066d9b2	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6dbc01446ae14a28b7142bb2203abc10/b2727a76bdd94fc58872feef2066d9b2.html?version=2608.500		
Maintain Document Number Gaps and Generate Digital Signature for Self-Billing Documents		Portugal	In Portugal, it is legally required that Self-Billing invoices created on behalf of a supplier are created with sequential invoice numbering, meaning any gaps in the sequential numbering	In Portugal, it is legally required that Self-Billing invoices created on behalf of a supplier are created with sequential invoice numbering, meaning any gaps in the sequential numbering are not allowed.	Help	318c4adce6e748bd9a0fbf23a5786991	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6dbc01446ae14a28b7142bb2203abc10/318c4adce6e748bd9a0fbf23a5786991.html?version=2608.500		
