# provenance
# target	aptus Philippines brief target 3 — Philippine chart of accounts
# source_file	sap-references/2608/BP_CLD_ENTPR_2608_Account_Master_Data_for_YCOA.xlsx, sheet "Template CoA YCOA"
# source_origin	SAP Best Practices 2608 account master data for the YCOA template chart of accounts
# finding	NO HARVEST WAS NEEDED, AND THERE IS NO SEPARATE PHILIPPINE CHART. This workbook is the country-independent one already in the repository. It carries one column per country company code — "PH (5810)" is the Philippines — marking which YCOA accounts that country uses. It also carries 20 "Alternative Account Number" columns for countries that have their own local chart (AT, BE, BR, CH, CN, CZ, DE, ES, FI, FR, HU, JP, LU, NO, PT, RO, RU, SE, TR, TW). THERE IS NO PH ALTERNATIVE-ACCOUNT COLUMN: SAP publishes the Philippines as using the YCOA template chart directly, with no local chart variant. Malaysia has none either.
# date_read	2026-09-07
# release	2608
# completeness	complete for this source. 865 accounts on the sheet; 578 are marked for the Philippine company code and are the rows of this file.
# comparison_to_malaysia	the brief asks for this explicitly: Malaysia is marked on 570 accounts of the same sheet, the Philippines on 578. The brief warns that a PH count landing on exactly Malaysia's 871 would suggest an accidental re-read of the MY file — it does not. Note also that aptus's 871 SapGlAccount rows did NOT come from this sheet (865 accounts); they came from BP_CLD_ENTPR_2608_Account_Master_Data_for_YCOA_MY.xlsx, sheet "YCOA_local", which is company-code-level MY data. The Philippine equivalent of THAT file (a "..._PH.xlsx" local workbook) is not in the repository and is not published anonymously — see the notes file.
# column_source	gl_account="G/L Account Number (I_SAKNR)" · long_text="G/L Acct Long Text (SKAT)" · account_group="G/L Account Group" · account_type="Type of a General Ledger Account" · chart_of_accounts="Chart of Accounts", all verbatim
# empty_columns	short_text is empty on every row: this sheet publishes only the long text (SKAT). pl_or_bs is empty on every row: this sheet publishes no balance-sheet / P&L indicator — the MY local workbook does ("Balance Sheet Account", "P&L Statement Acct Type") and the Philippine local workbook would too, but neither is available here.
# columns_not_carried	the source publishes more than the brief's eight columns — Item Category, Functional Area, Cost Element Category, Account Category, Account Purpose, account hierarchy level, group account number and the 20 alternative-chart columns. They are NOT lost: the workbook is in the repository at the path above. They are omitted here only because the brief fixes the column list.
# empty	a blank cell means the workbook publishes nothing there.
# not_claimed	this is SAP's Best Practices template content for release 2608, not any client's chart of accounts.
country_variant	gl_account	short_text	long_text	account_group	account_type	pl_or_bs	chart_of_accounts
PH	52078000		Price Difference REMV	ERG.	P		YCOA
PH	52079000		Price Difference SCRP	ERG.	P		YCOA
PH	52080000		Loss from allowed Differences GL Account Clearing	ERG.	P		YCOA
PH	52501000		Gain Inventory Variance (Raw & Trade)	ERG.	P		YCOA
PH	52503000		Gain Inventory Variance (SF & Finish Goods)	ERG.	P		YCOA
PH	52511000		Gain Inventory Transfer (Raw & Trade)	ERG.	P		YCOA
PH	52513000		Gain Inventory Transfer (SF & Finish Goods)	ERG.	P		YCOA
PH	52521000		Gain Consumption for Quality Control (Raw & Trade)	ERG.	P		YCOA
PH	52523000		Gain Consumption for QM (SF & Finish Goods)	ERG.	P		YCOA
PH	52530000		Gain from Revaluation	ERG.	P		YCOA
PH	52531000		Gain from Valuation of External Products	ERG.	P		YCOA
PH	52532000		Gain from Valuation own Products	ERG.	P		YCOA
PH	52541000		Gain Price Variance (PRD)	ERG.	P		YCOA
PH	52541100		Activity Price Diff. writeoff from WIP (PRA)	ERG.	P		YCOA
PH	52541200		Activity Price Diff. writeoff from WIP (PRM)	ERG.	P		YCOA
PH	52541500		Gain Inventory Value Adjustment Ext. Prod. (BSK)	ERG.	P		YCOA
PH	52542000		Gain Price Differences (PRL)	ERG.	P		YCOA
PH	52543000		Gain Price Differences (PRY)	ERG.	P		YCOA
PH	52544000		Gain Price Differences - Material Ledger (LKW)	ERG.	P		YCOA
PH	52545000		Posterior Real Rate Activity Allocation (AUI)	ERG.	P		YCOA
PH	52546000		Consumption Valuation (COC)	ERG.	P		YCOA
PH	52551000		Gain Consumption of Consign. Mat (Raw & Trade)	ERG.	P		YCOA
PH	52552000		Gain Consumption of Consign. Mat (SF & F.Goods)	ERG.	P		YCOA
PH	52560000		Gain Small Price Difference Invoices Receipt (MM)	ERG.	P		YCOA
PH	52570000		Gain from Production Variances	ERG.	P		YCOA
PH	52570500		Gain Inventory Value Adjustment Own Prod. (BSK)	ERG.	P		YCOA
PH	52580000		Gain from allowed Differences GL Account Clearing	ERG.	P		YCOA
PH	52590000		Freight Revenue - Recovery	ERG.	P		YCOA
PH	54011000		Inventory Change - Purch.Offset.Acct (Raw)	ERG.	P		YCOA
PH	54011100		Inventory Change - Purch.offset.acct (Packaging)	ERG.	P		YCOA
PH	54011200		Inventory Change - Purch.offset.acct (Trading)	ERG.	P		YCOA
PH	54013000		Inventory Change - Purch.Offset.Acct (SF & F.Good)	ERG.	P		YCOA
PH	54040000		Inventory Change - Reserve	ERG.	N		YCOA
PH	54051000		Inventory Change - Scrap External Products	ERG.	P		YCOA
PH	54053000		Inventory Change - Scrap own Products	ERG.	P		YCOA
PH	54070000		Inventory Change - Receipt without PO	ERG.	N		YCOA
PH	54083000		Inventory Change - Cost of own Goods sold w/C.Elem	ERG.	P		YCOA
PH	54084000		Inventory Change Cost own Goods sold SO cons. w/CE	ERG.	P		YCOA
PH	54093000		Inventory Change - QM cons.own prod. w/ cst elem.	ERG.	P		YCOA
PH	54200000		Inventory Change - Work in Progress	ERG.	N		YCOA
PH	54300000		Inventory Change - Semi Finished goods	ERG.	P		YCOA
PH	54400000		Inventory Change - Finished Goods	ERG.	P		YCOA
PH	54441000		Reserves for Unrealized Costs	ERG.	P		YCOA
PH	54442000		Man Adj of Reserves for Imminent Loss	ERG.	P		YCOA
PH	54444000		Man Adj of Reserves for Unrealized Costs	ERG.	P		YCOA
PH	55100000		Plant Activity Production Order	ERG.	P		YCOA
PH	55110000		Secondary Cost external Settlement	ERG.	P		YCOA
PH	59801000		Reserves for Anticipated Losses	ERG.	P		YCOA
PH	59900000		Cost of Goods Sold (Affiliated)	ERG.	P		YCOA
PH	61002000		3rd party material	ERG.	P		YCOA
PH	61003000		Travel Expenses - Hotel and Accommodation	ERG.	P		YCOA
PH	61004000		Travel Expenses - Meals	ERG.	P		YCOA
PH	61005000		Travel Expenses - Ground Transportation	ERG.	P		YCOA
PH	61006000		Travel Expenses - Entertainment	ERG.	P		YCOA
PH	61007000		Travel Expenses - Airfare, Rail, Mileage	ERG.	P		YCOA
PH	61008000		Travel Expenses - Miscellaneous	ERG.	P		YCOA
PH	61010000		Payroll - Other Personnel Expenses	ERG.	P		YCOA
PH	61020000		Payroll - Bonus	ERG.	P		YCOA
PH	61021000		Payroll - Overtime Salaries	ERG.	P		YCOA
PH	61021100		Payroll - Overtime Wages	ERG.	P		YCOA
PH	61022000		Payroll - Vacation Pay Salaries	ERG.	P		YCOA
PH	61022100		Payroll - Vacation Pay Wages	ERG.	P		YCOA
PH	61051000		Payroll Expense - Downtime Wages	ERG.	P		YCOA
PH	61052000		Payroll Expense - Downtime Salaries	ERG.	P		YCOA
PH	61060000		Payroll Expense - Pension Contributions	ERG.	P		YCOA
PH	61061000		Payroll - Benefits	ERG.	P		YCOA
PH	61062000		Workers' Compensation Association Contributions	ERG.	P		YCOA
PH	61063000		Dues to Associations	ERG.	P		YCOA
PH	61100000		Payroll Expense - Salaries	ERG.	P		YCOA
PH	61101000		Payroll Expense - Other salary-related expenses	ERG.	P		YCOA
PH	61102000		Payroll Expense - Other wage-related expenses	ERG.	P		YCOA
PH	61103000		Payroll Expense - Direct Labor Cost	ERG.	P		YCOA
PH	61104000		Payroll Expense - Indirect Labor Cost	ERG.	P		YCOA
PH	61200000		Payroll Expense - Tax and Soc Security - Wages	ERG.	P		YCOA
PH	61201000		Payroll Expense - Tax and Soc Security - Salaries	ERG.	P		YCOA
PH	61400000		Training and Education	ERG.	P		YCOA
PH	61401000		HR Recruitement	ERG.	P		YCOA
PH	61500000		Sales Commissions	ERG.	P		YCOA
PH	62000000		Bad Debt Expense	ERG.	P		YCOA
PH	62010000		Individual Value Adjustments	ERG.	P		YCOA
PH	62020000		Flat-rate Value Adjustments	ERG.	P		YCOA
PH	63000000		Machine and Equipment Periodic Service	ERG.	P		YCOA
PH	63000500		Qualtiy Control Consumption Ext. Prod. w/ Act Type	ERG.	P		YCOA
PH	63001000		Electricity and other Utilities	ERG.	P		YCOA
PH	63002000		Water	ERG.	P		YCOA
PH	63003000		Other Periodic Service	ERG.	P		YCOA
PH	63004000		Insurance	ERG.	P		YCOA
PH	63005000		Office/Building Rent	ERG.	P		YCOA
PH	63006000		Telephone and other Communication	ERG.	P		YCOA
PH	63007000		Fax and Internet	ERG.	P		YCOA
PH	63008000		Building Periodic Service	ERG.	P		YCOA
PH	63009000		Leasing Expense	ERG.	P		YCOA
PH	64001000		Depreciation Expense - Buildings	ERG.	P		YCOA
PH	64002000		Depreciation Expense - Machinery & Equipment	ERG.	P		YCOA
PH	64003000		Depreciation Expense - Building Improvement	ERG.	P		YCOA
PH	64004000		Depreciation Expense - Motor Vehicles	ERG.	P		YCOA
PH	64005000		Depreciation Expense - Office Equipment	ERG.	P		YCOA
PH	64006000		Depreciation Expense - Furniture	ERG.	P		YCOA
PH	64007000		Depreciation Expense - Computer Hardware	ERG.	P		YCOA
PH	64008000		Depreciation Expense - Computer Software	ERG.	P		YCOA
PH	64020000		Depreciation Expense - Low Value Assets	ERG.	P		YCOA
PH	64021000		Depreciation Expense - Intangible Assets	ERG.	P		YCOA
PH	64030000		Unplanned Depreciation Expense	ERG.	P		YCOA
PH	64040000		Scheduled Deprec Fixed Assets below Asset Value	ERG.	P		YCOA
PH	64043000		Amortization Expense - Goodwill	ERG.	P		YCOA
PH	64050000		Estimated Depreciation (CO)	ERG.	P		YCOA
PH	64060000		Accrued interest (CO)	ERG.	P		YCOA
PH	65000000		Postage and Shipping	ERG.	P		YCOA
PH	65000500		Non Production - Material Consumption	ERG.	P		YCOA
PH	65001000		Purchased Services	ERG.	P		YCOA
PH	65002000		Advertising and Sales Costs	ERG.	P		YCOA
PH	65003000		Vehicle Costs	ERG.	P		YCOA
PH	65004000		Donations	ERG.	P		YCOA
PH	65008000		Purchased Services-Time	ERG.	P		YCOA
PH	65008300		Services - General	ERG.	P		YCOA
PH	65008400		Purchased Services - Accommodation	ERG.	P		YCOA
PH	65008410		Purchased Services - Airfair	ERG.	P		YCOA
PH	65008420		Purchased Services - Ground Transportation	ERG.	P		YCOA
PH	65008430		Purchased Services - Travel Miscellaneous	ERG.	P		YCOA
PH	65008500		Subcontracting Services	ERG.	P		YCOA
PH	65009000		Other Activity Costs	ERG.	P		YCOA
PH	65050000		Unplanned Delivery costs	ERG.	P		YCOA
PH	65100000		Office Supplies	ERG.	P		YCOA
PH	65150000		Computer Supplies	ERG.	P		YCOA
PH	65200000		Other Supplies	ERG.	P		YCOA
PH	65300000		Legal and Audit Services	ERG.	P		YCOA
PH	65301000		Marketing Expenses	ERG.	P		YCOA
PH	65400000		Freight	ERG.	P		YCOA
PH	65900000		Loss in the Event of Damage	ERG.	P		YCOA
PH	66000000		Other Operating Expenses	ERG.	P		YCOA
PH	66000500		Income - reduction in provisions	ERG.	P		YCOA
PH	66000600		Other Gains	ERG.	P		YCOA
PH	66010000		Expense of Discounting (ZKB)	ERG.	P		YCOA
PH	66019900		Addition to Provisions (ZKK)	ERG.	P		YCOA
PH	66888800		ICO Expense Travel	ERG.	N		YCOA
PH	66999900		ICO Expense Consultance	ERG.	N		YCOA
PH	68000000		Purchase Account (Raw)	ERG.	P		YCOA
PH	68001000		Purchase account (Packaging)	ERG.	P		YCOA
PH	68002000		Purchase account (Trading)	ERG.	P		YCOA
PH	68010000		Purchase Account (SF & Finish Goods)	ERG.	P		YCOA
PH	68888800		ICO Clearing Account - Travel	ERG.	N		YCOA
PH	70010000		Revenue from Post Capitalization	ERG.	P		YCOA
PH	70015000		Settlement of Asset u. Construction to CO Object	ERG.	P		YCOA
PH	70020000		Revenue from Fixed Asset Sale	ERG.	N		YCOA
PH	70030000		Clearing Account Asset Disposals	ERG.	N		YCOA
PH	70040000		Discount Received	ERG.	P		YCOA
PH	70050000		Clearing affiliated asset transfer	ERG.	N		YCOA
PH	70100000		Interest Income	ERG.	P		YCOA
PH	70300000		Interest Income - Subsidiaries	ERG.	P		YCOA
PH	70300100		Gain from Long Term Investment	ERG.	P		YCOA
PH	70500000		Consumption of Provisions	ERG.	P		YCOA
PH	70800000		Other Extraordinary Income	ERG.	P		YCOA
PH	70900000		Fines and Penalties	ERG.	P		YCOA
PH	71000000		Bank Charges	ERG.	P		YCOA
PH	71010000		Loss from Asset Transactions	ERG.	P		YCOA
PH	71010100		Gain from Asset Transactions	ERG.	P		YCOA
PH	71010200		Gain from Write Up of Fixed Assets	ERG.	P		YCOA
PH	71010400		Loss from Capitalization Differences	ERG.	P		YCOA
PH	71010500		Clearing-estimated Depreciation on Fixed Assets	ERG.	P		YCOA
PH	71010600		Clearing Depreciation local GAAP	ERG.	P		YCOA
PH	71010700		Estimated depreciation (FI-AA)	ERG.	P		YCOA
PH	71010800		Depreciation local GAAP	ERG.	P		YCOA
PH	71015000		Offsetting Account Revaluation ord. Depreciation	ERG.	P		YCOA
PH	71040000		Discount lost using Net Procedure	ERG.	P		YCOA
PH	71050000		Cash Discounts Expense	ERG.	P		YCOA
PH	71055000		Statistical Condtion cash discount	ERG.	P		YCOA
PH	71100000		Interest Expense	ERG.	P		YCOA
PH	71300000		Interest Expense - Subsidiaries	ERG.	P		YCOA
PH	71800000		Other Extraordinary Expenses	ERG.	P		YCOA
PH	72010000		Loss from Exchange Rate Differences	ERG.	P		YCOA
PH	72020000		Loss from Rounding Dif. Foreign Currency	ERG.	P		YCOA
PH	72040000		Loss from Currency Valuation	ERG.	P		YCOA
PH	72510000		Gain from exchange rate differences	ERG.	P		YCOA
PH	72520000		Gain from rounding dif. foreign currency	ERG.	P		YCOA
PH	72530000		Gain from rebates differences	ERG.	P		YCOA
PH	72531000		Gain from Supplier Rebate (MM)	MAT.	P		YCOA
PH	72532000		Gain from Supplier Rebate (SD)	MAT.	P		YCOA
PH	72540000		Gain from currency valuation	ERG.	P		YCOA
PH	75001000		Excise Taxes	ERG.	P		YCOA
PH	75002000		Corporate Income Tax Expense	ERG.	P		YCOA
PH	75002100		Capital Gains Tax	ERG.	P		YCOA
PH	75002200		Solidary Surcharge on Corporate Income Tax	ERG.	P		YCOA
PH	75002300		Solidary surcharge for Interest Income Tax	ERG.	P		YCOA
PH	75003000		Deferred Tax	ERG.	P		YCOA
PH	75004000		Other Taxes on Income	ERG.	P		YCOA
PH	75005000		Input Tax non deductable (NAV)	ERG.	P		YCOA
PH	75007000		Property Taxes	ERG.	P		YCOA
PH	75008000		Trade Tax	ERG.	P		YCOA
PH	75009000		Export Duty	ERG.	P		YCOA
PH	75009900		Other Company Taxes	ERG.	P		YCOA
PH	90001000		Activated Carried Forward Losses	ERG.	N		YCOA
PH	90002000		Deferred Carried Forward Losses	ERG.	N		YCOA
PH	92101500		Settl. Rework	SECC	S		YCOA
PH	92101800		Settlement R&D	SECC	S		YCOA
PH	92105100		Personnel costs	SECC	S		YCOA
PH	92105200		Spare/Service/Ext Material con	SECC	S		YCOA
PH	92105300		Other costs	SECC	S		YCOA
PH	92105400		Secondary costs	SECC	S		YCOA
PH	94111000		Overhead Material	SECC	S		YCOA
PH	94112000		Overhead production	SECC	S		YCOA
PH	94113000		Overhead administration	SECC	S		YCOA
PH	94114000		Overhead sales	SECC	S		YCOA
PH	94201000		Buildings & Periodic Service	SECC	S		YCOA
PH	94202000		Assessment Quality costs	SECC	S		YCOA
PH	94220000		COPA Assessment	SECC	S		YCOA
PH	94221000		COPA-overhead cost	SECC	S		YCOA
PH	94222000		COPA-Marketing	SECC	S		YCOA
PH	94223000		COPA -R&D	SECC	S		YCOA
PH	94224000		COPA -Admin. Overhead	SECC	S		YCOA
PH	94225000		COPA -Sales. Overhead	SECC	S		YCOA
PH	94226000		COPA-Non-Operating Expense	SECC	S		YCOA
PH	94227000		COPA-Non-Operating Income	SECC	S		YCOA
PH	94228000		COPA -Taxes	SECC	S		YCOA
PH	94229000		COPA -cash Discount	SECC	S		YCOA
PH	94229900		COPA -consulting overhead	SECC	S		YCOA
PH	94301000		Machine hours 1	SECC	S		YCOA
PH	94302000		Machine hours 2	SECC	S		YCOA
PH	94303000		Setup Production	SECC	S		YCOA
PH	94304000		Water	SECC	S		YCOA
PH	94305000		Industry Effluent	SECC	S		YCOA
PH	94306000		Environmental	SECC	S		YCOA
PH	94307000		Internal Transport	SECC	S		YCOA
PH	94308000		Consulting	SECC	S		YCOA
PH	94308500		Activity Unit based Billing	SECC	S		YCOA
PH	94309000		Development	SECC	S		YCOA
PH	94310000		QM Control	SECC	S		YCOA
PH	94311000		Personnel hours	SECC	S		YCOA
PH	97777700		ICO Margin	ERG.	P		YCOA
PH	98888800		ICO Clearing Account - Margin	ERG.	N		YCOA
PH	99999900		ICO Clearing Account - Consultancy	ERG.	N		YCOA
